#Source: http://www.judicial.gov.tw/jfont/%E9%80%A0%E5%AD%97%E5%B0%8D%E7%85%A7%E8%A1%A8.pdf
01E745	017DC3
01E748	013EA8
01E74B	015856
01E74F	014552
01E752	0165EA
01E756	01380F
01E757	017915
01E759	014308
01E75D	0157C5
01E760	0102377E
01E765	0159C4
01E766	016673
01E767	013767
01E769	010204DB
01E76C	015B0A
01E76F	015D66
01E770	015C1E
01E772	017414
01E773	019393
01E774	0164B4
01E775	017BC3
01E778	01812A
01E779	018CE9
01E77C	013B93
01E77D	0165C9
01E77E	01656B
01E780	016D8F
01E782	017CB7
01E784	01548A
01E785	01373B
01E789	014F17
01E78A	016352
01E78B	019443
01E78D	016F79
01E78F	016EDD
01E791	019368
01E792	01863D
01E794	0102568A
01E795	014A0E
01E797	010202B7
01E798	0179A5
01E79B	018229
01E79C	014319
01E7A0	01986E
01E7A1	018FB3
01E7A5	01650B
01E7A6	01449A
01E7A7	01398A
01E7A8	019A5C
01E7A9	013EDF
01E7AB	01021852
01E7AC	014934
01E7B0	015D48
01E7B1	01717A
01E7B2	0173AF
01E7B3	015058
01E7B8	01024CC9
01E7B9	013723
01E7BA	0177BE
01E7BC	014327
01E7C1	018689
01E7C3	014776
01E7C4	018A9C
01E7C6	0168B9
01E7C8	016716
01E7C9	017087
01E7CA	0182C4
01E7CD	016D23
01E7D0	0161D9
01E7D4	0102576B
01E7D6	013FE2
01E7D7	0141CC
01E7D8	014954
01E7D9	0136D5
01E7E2	017D7E
01E7E9	0102583C
01E7EA	013AE5
01E7EB	0135DB
01E7EE	015818
01E7EF	01651A
01E7F5	014D23
01E7F8	0137AF
01E7F9	015D0A
01E7FD	014722
01E7FF	0193EB
01E800	013A61
01E804	010290C0
01E805	018CF6
01E806	0141F9
01E807	013AE1
01E809	01477E
01E80A	018C51
01E80B	014AA9
01E80D	018F9D
01E80E	014B55
01E80F	014F8E
01E811	01027DD2
01E812	014978
01E813	015A88
01E814	017053
01E815	018AB1
01E816	0144C3
01E81A	016C6E
01E81B	018462
01E81C	01839C
01E81D	0174B9
01E81E	019372
01E81F	019F9D
01E823	014707
01E824	014A2B
01E826	01941B
01E827	0102647B
01E828	01026C40
01E829	0166D0
01E82A	013972
01E82B	017445
01E82E	017CB8
01E82F	0146EF
01E830	0146E4
01E832	014698
01E833	014FB0
01E836	01021364
01E837	01541A
01E839	017449
01E83B	019E0E
01E83C	0168FE
01E83E	017BC2
01E83F	0168A6
01E843	014516
01E845	01021F16
01E846	0165BE
01E847	0188A3
01E84A	016830
01E84B	016EFA
01E84C	014A3E
01E84F	014965
01E851	0191DF
01E852	01746B
01E854	017448
01E857	0102128B
01E85A	015CF5
01E85B	018AB4
01E85C	015FDF
01E85D	0197E2
01E860	014E71
01E863	015AA0
01E864	0190B9
01E865	016D14
01E866	01025BE4
01E86A	0136C1
01E86C	013EB0
01E86D	016663
01E871	0193D3
01E874	0168C5
01E875	01025F8F
01E876	01021556
01E877	010270D9
01E87E	0136F4
01E87F	010209E5
01E880	017882
01E882	018AE5
01E883	016D06
01E884	0146F0
01E886	01749D
01E88C	015AAB
01E88E	01372B
01E890	0195A2
01E892	01397F
01E893	01599A
01E894	0102148A
01E899	015AE4
01E89A	013A17
01E89B	01842E
01E89C	010270D9
01E89D	019374
01E89F	014A2C
01E8A1	015BD7
01E8A3	018B71
01E8A4	016E6A
01E8A5	016FB5
01E8A6	0136B1
01E8A7	01643C
01E8A8	0151B3
01E8A9	0170A3
01E8AA	0165FF
01E8AB	010265A4
01E8AD	01664D
01E8B1	016F1B
01E8B2	019374
01E8B3	013624
01E8B4	018A26
01E8B5	010202F6
01E8B8	015585
01E8BC	014517
01E8BD	01027B07
01E8BE	019D93
01E8BF	010293F2
01E8C0	0102642D
01E8C5	0144CC
01E8C6	01661E
01E8C7	015C14
01E8CA	015DB6
01E8CC	01537F
01E8CF	01021BD9
01E8D0	0158C3
01E8D1	0144DD
01E8D2	01025B61
01E8D4	01685E
01E8D7	0184E4
01E8DB	019BDD
01E8DC	017107
01E8DD	0138AC
01E8DF	019764
01E8E0	016E29
01E8E1	017846
01E8E2	017AEA
01E8E3	01656D
01E8E5	013449
01E8E7	0173CE
01E8E8	014530
01E8E9	01023543
01E8EB	01741C
01E8EC	0134A5
01E8ED	013826
01E8F0	01542F
01E8F2	0139E3
01E8F7	014C1A
01E8F8	017A42
01E8FA	014F1A
01E8FD	01026B07
01E8FF	014390
01E901	018402
01E902	0189B4
01E904	0137BD
01E905	014688
01E906	018FC7
01E907	01026B73
01E908	014D2A
01E909	017471
01E90A	01542F
01E90D	018061
01E90F	013D34
01E910	019B94
01E911	017520
01E912	019258
01E914	019290
01E915	0149EE
01E919	010249AE
01E91A	0146E5
01E91B	016CE6
01E91C	01020895
01E921	013BE3
01E922	014BAA
01E924	0144F5
01E925	0136AC
01E929	019A26
01E92C	0158B7
01E92F	01598C
01E931	016AD5
01E933	019734
01E934	019679
01E935	010248EE
01E936	01028FEC
01E937	017D74
01E938	015D21
01E93A	01026B76
01E93B	0142ED
01E93C	016A63
01E93D	0157BB
01E940	019434
01E941	016552
01E942	010234C1
01E943	01370D
01E944	018AAF
01E945	017AFE
01E946	013560
01E947	016198
01E948	01025800
01E949	0157C0
01E94B	0153C2
01E94C	014B72
01E94E	01975D
01E94F	014961
01E951	0179F1
01E952	014927
01E953	017493
01E957	0192AE
01E959	013FE8
01E95A	0192F6
01E95E	017AF8
01E95F	01664B
01E962	018081
01E965	018FA4
01E966	0191C4
01E968	014474
01E969	01925F
01E96A	01026A4E
01E96B	016D56
01E96D	01662A
01E96F	017448
01E970	015C1B
01E971	014C77
01E975	019CEE
01E977	01718E
01E978	0151E2
01E980	010234C9
01E984	013B78
01E98A	0102F99B
01E998	01492F
01E99C	019442
01E99D	010258DE
01E99F	01667D
01E9A0	01027B06
01E9A1	010294E7
01E9A2	013DE1
01E9A4	019362
01E9A5	0168A5
01E9A7	015086
01E9A8	0152F2
01E9A9	013E0B
01E9AD	014A94
01E9AF	013572
01E9B0	018060
01E9B3	0102822E
01E9B4	016A5C
01E9B6	018296
01E9B7	013ECE
01E9B9	01026F2A
01E9BA	018CD0
01E9BC	015585
01E9BD	01023100
01E9BE	016CDF
01E9BF	01024039
01E9C1	0192DB
01E9C2	014F9F
01E9C3	01024A72
01E9C4	0199A4
01E9C5	014204
01E9C6	0166CD
01E9C7	017133
01E9C8	01024573
01E9CA	01025E4B
01E9CB	01747B
01E9CC	017890
01E9CD	015743
01E9CE	010248F9
01E9CF	01855A
01E9D0	017D37
01E9D1	0102413D
01E9D2	013D42
01E9D4	015BED
01E9D8	01025429
01E9D9	017FE7
01E9DA	01024BD4
01E9DB	01430D
01E9DC	01028A93
01E9DD	01613A
01E9DE	013B10
01E9DF	0158F0
01E9E0	01682C
01E9E1	01026C6E
01E9E2	015B96
01E9E4	015696
01E9E6	019289
01E9EA	019B38
01E9EB	01026021
01E9EC	0195C2
01E9ED	01599F
01E9EE	018AA9
01E9EF	0136DD
01E9F0	018363
01E9F1	0150FC
01E9F2	010231F0
